Detection Time (ns),Counts,
7650.0,334.0,
7675.0,361.0,
7700.0,332.0,
7725.0,334.0,
7750.0,347.0,
7775.0,318.0,
7800.0,305.0,
7825.0,354.0,
7850.0,319.0,
7875.0,280.0,
7900.0,346.0,
7925.0,309.0,
7950.0,309.0,
7975.0,347.0,
8000.0,314.0,
8025.0,340.0,
8050.0,309.0,
8075.0,334.0,
8100.0,323.0,
8125.0,347.0,
8150.0,328.0,
8175.0,333.0,
8200.0,321.0,
8225.0,316.0,
8250.0,352.0,
8275.0,312.0,
8300.0,343.0,
8325.0,360.0,
8350.0,330.0,
8375.0,339.0,
8400.0,317.0,
8425.0,323.0,
8450.0,314.0,
8475.0,336.0,
8500.0,326.0,
8525.0,336.0,
8550.0,370.0,
8575.0,306.0,
8600.0,311.0,
8625.0,309.0,
8650.0,312.0,
8675.0,302.0,
8700.0,321.0,
8725.0,355.0,
8750.0,348.0,
8775.0,295.0,
8800.0,289.0,
8825.0,327.0,
8850.0,286.0,
8875.0,322.0,
8900.0,315.0,
8925.0,321.0,
8950.0,328.0,
8975.0,307.0,
9000.0,274.0,
9025.0,329.0,
9050.0,287.0,
9075.0,312.0,
9100.0,310.0,
9125.0,334.0,
9150.0,304.0,
9175.0,299.0,
9200.0,302.0,
9225.0,310.0,
9250.0,322.0,
9275.0,302.0,
9300.0,307.0,
9325.0,336.0,
9350.0,299.0,
9375.0,301.0,
9400.0,298.0,
9425.0,313.0,
9450.0,302.0,
9475.0,290.0,
9500.0,360.0,
9525.0,298.0,
9550.0,287.0,
9575.0,308.0,
9600.0,295.0,
9625.0,311.0,
9650.0,307.0,
9675.0,330.0,
9700.0,306.0,
9725.0,286.0,
9750.0,328.0,
9775.0,322.0,
9800.0,293.0,
9825.0,297.0,
9850.0,305.0,
9875.0,294.0,
9900.0,297.0,
9925.0,335.0,
9950.0,333.0,
9975.0,311.0,
10000.0,287.0,
10025.0,286.0,
10050.0,301.0,
10075.0,293.0,
10100.0,270.0,
10125.0,320.0,
10150.0,312.0,
10175.0,354.0,
10200.0,316.0,
10225.0,306.0,
10250.0,332.0,
10275.0,287.0,
10300.0,281.0,
10325.0,319.0,
10350.0,295.0,
10375.0,303.0,
10400.0,317.0,
10425.0,292.0,
10450.0,295.0,
10475.0,304.0,
10500.0,304.0,
10525.0,297.0,
10550.0,321.0,
10575.0,289.0,
10600.0,276.0,
10625.0,304.0,
10650.0,310.0,
10675.0,296.0,
10700.0,283.0,
10725.0,294.0,
10750.0,270.0,
10775.0,319.0,
10800.0,317.0,
10825.0,310.0,
10850.0,305.0,
10875.0,286.0,
10900.0,335.0,
10925.0,310.0,
10950.0,277.0,
10975.0,300.0,
11000.0,320.0,
11025.0,292.0,
11050.0,277.0,
11075.0,299.0,
11100.0,337.0,
11125.0,286.0,
11150.0,281.0,
11175.0,270.0,
11200.0,324.0,
11225.0,317.0,
11250.0,313.0,
11275.0,267.0,
11300.0,299.0,
11325.0,293.0,
11350.0,295.0,
11375.0,282.0,
11400.0,285.0,
11425.0,320.0,
11450.0,266.0,
11475.0,321.0,
11500.0,284.0,
11525.0,342.0,
11550.0,278.0,
11575.0,314.0,
11600.0,266.0,
11625.0,314.0,
